"Date","SPY","IEF","GLD"
2015-03-20,175.026947021484,84.5254745483398,113.569999694824
2015-03-23,174.685897827148,84.6347274780273,114.290000915527
2015-03-24,173.704345703125,84.8922805786133,114.569999694824
2015-03-25,171.158889770508,84.5254745483398,114.730003356934
2015-03-26,170.75129699707,84.049446105957,115.480003356934
2015-03-27,171.14225769043,84.3771820068359,115.059997558594
2015-03-30,173.230163574219,84.3693695068359,113.75
2015-03-31,171.716278076172,84.5879287719727,113.660003662109
2015-04-01,171.108993530273,84.990478515625,115.599998474121
2015-04-02,171.724578857422,84.748161315918,115.279998779297
2015-04-06,172.880828857422,84.8575744628906,116.690002441406
2015-04-07,172.423324584961,84.9279022216797,116.110000610352
2015-04-08,173.005599975586,84.8497772216797,115.470001220703
2015-04-09,173.77082824707,84.5058288574219,114.669998168945
2015-04-10,174.719177246094,84.4823684692383,115.970001220703
2015-04-13,173.928909301758,84.6543197631836,115.139999389648
2015-04-14,174.261672973633,84.9044799804688,114.440002441406
2015-04-15,175.043563842773,84.9513854980469,115.430000305176
2015-04-16,174.993667602539,85.0139389038086,115.029998779297
2015-04-17,172.980651855469,85.1858520507812,115.599998474121
2015-04-20,174.561126708984,85.0295333862305,114.720001220703
2015-04-21,174.353179931641,84.8497772216797,115.379997253418
2015-04-22,175.209930419922,84.3573455810547,113.830001831055
2015-04-23,175.650833129883,84.6152572631836,114.660003662109
2015-04-24,176.058395385742,84.9122619628906,113.050003051758
2015-04-27,175.326416015625,84.779411315918,115.330001831055
2015-04-28,175.883773803711,84.3885345458984,116.330001831055
2015-04-29,175.160034179688,84.0759124755859,115.51000213623
2015-04-30,173.404922485352,84.0524368286133,113.470001220703
2015-05-01,175.28483581543,83.5928955078125,113.080001831055
2015-05-04,175.783889770508,83.4207153320312,114.099998474121
2015-05-05,173.77082824707,83.2797927856445,114.419998168945
2015-05-06,173.055480957031,82.8727188110352,114.360000610352
2015-05-07,173.745910644531,83.224967956543,113.419998168945
2015-05-08,176.033477783203,83.5459976196289,113.970001220703
2015-05-11,175.193298339844,82.7239532470703,113.529998779297
2015-05-12,174.66926574707,82.7865600585938,114.5
2015-05-13,174.702575683594,82.6769561767578,116.550003051758
2015-05-14,176.524291992188,82.9588088989258,117.180000305176
2015-05-15,176.715591430664,83.5537872314453,117.529998779297
2015-05-18,177.2646484375,82.9901504516602,117.519996643066
2015-05-19,177.206344604492,82.6221542358398,115.889999389648
2015-05-20,177.081588745117,82.8022537231445,116.080001831055
